# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
9606_0:0048f7	312	100.000	0	1513	656	0.0
61622_0:004d9a	312	95.513	0	1445	627	0.0
9544_0:004ef9	312	95.192	0	1439	624	0.0
9509_0:0037a9	312	91.667	0	1379	598	0.0
9483_0:003924	312	90.705	0	1368	593	0.0
37293_0:0042b5	312	91.667	0	1355	588	0.0
9601_0:004059	312	94.551	0	1345	584	0.0
61853_0:0039b7	281	95.018	0	1293	561	0.0
31869_0:003945	314	85.350	5	1280	555	0.0
30611_0:0020e4	312	82.372	0	1246	541	0.0
1868482_0:0042cb	312	85.256	0	1228	533	0.0
29073_0:0022b5	317	82.650	5	1217	528	0.0
89462_0:00506e	315	83.175	3	1216	528	0.0
84702_0:004e66	315	83.492	3	1216	528	0.0
9823_0:001194	316	81.646	4	1214	527	0.0
9447_0:000d36	312	83.333	3	1212	526	0.0
9713_0:00269d	316	83.544	4	1209	525	0.0
30608_0:00388e	314	83.758	5	1203	522	3.08e-180
9796_0:003007	317	80.442	6	1201	521	8.76e-180
9925_0:004254	313	81.150	1	1200	521	1.19e-179
43179_0:00484b	312	80.128	4	1197	520	2.75e-179
9940_0:004b05	312	81.410	0	1197	520	3.60e-179
9460_0:003b9e	312	83.654	3	1196	519	4.22e-179
51338_0:0023ba	312	82.692	2	1191	517	3.53e-178
9913_0:0047a3	315	82.857	3	1191	517	4.01e-178
9704_0:0031c0	331	80.060	19	1184	514	1.56e-176
391180_0:003374	317	80.757	5	1176	511	1.54e-175
27675_0:004c93	314	81.210	6	1170	508	9.57e-175
9755_0:00297d	316	80.696	11	1165	506	5.61e-174
2888765_0:0000f1	314	81.210	4	1165	506	8.18e-174
9685_0:0048be	315	81.905	4	1163	505	1.81e-173
55149_0:00528b	314	81.529	6	1160	504	3.91e-173
40151_0:001271	316	80.696	11	1160	504	4.16e-173
9771_0:003695	315	80.952	10	1159	503	4.59e-173
51337_0:0035c4	326	77.301	16	1161	504	6.53e-173
9413_0:0011e8	314	79.299	5	1160	504	1.04e-172
60746_0:003dda	326	75.460	16	1141	496	1.56e-169
9764_0:00302c	312	80.128	4	1138	494	1.92e-169
1884717_0:00384e	318	79.245	7	1137	494	3.47e-169
9739_0:0038b1	316	80.696	11	1133	492	1.11e-168
10129_0:00311c	326	73.926	17	1136	493	1.14e-168
59479_0:002d3e	315	81.587	5	1132	492	2.09e-168
10116_0:004128	326	73.620	16	1131	491	7.14e-168
230844_0:002b64	326	74.847	17	1129	490	1.06e-167
51298_0:003d33	315	82.540	4	1128	490	1.11e-167
214514_0:00479b	302	80.795	5	1125	489	1.49e-167
27622_0:003534	316	79.430	5	1127	489	1.68e-167
56216_0:0014b5	332	73.193	21	1128	490	3.03e-167
575201_0:00351b	337	74.481	34	1133	492	3.35e-167
1026970_0:0046fa	333	72.372	24	1126	489	5.86e-167
61156_0:0022a4	326	73.313	17	1124	488	9.62e-167
58069_0:001264	293	82.594	4	1122	487	1.08e-166
10141_0:0046c8	302	76.490	2	1117	485	2.75e-166
